title	0	1	2
62. Building a Recommendation Engine using Python	"Ever wondered ""How did you find an old school buddy on Facebook, just like that?"" , ""How Spotify suggests you songs you haven't listened but are matching with your listening habits?"", ""How E-Commerce websites recommends you products you might like?"". Well, the answer to all these question is one-Recommendation Engines. From millions of products existing on a website, it is very difficult for a user to land on a product of his need as well as his choice. But with the inception of Artificial Intelligence, a few algorithms were introduced to perform this difficult task and with the progress in technology, these algorithms were refined as well as customized as per the user requirements by various organizations. In simplest way, Recommendation Engine learns about your behavior with different techniques and recommends you products that seems suitable for you according to the algorithm."	"In this talk I'll cover the following topics with code in Python:
1. Recommendation Engines
2. Types of recommendation Engines.
3. Step wise guidance to make an engine- Data Acquisition, Data Cleaning, Implementing various models.
4. Problems faced during developments of recommendation systems.
5. Metrics used to measure the accuracy of a recommendation engine.
6. Functions that can help to improve your engine for better results as the data gets bigger.
7. Importance of Recommendation Engines on an economical level especially for Startups."	The audience must have basic knowledge of programming (not necessarily with Python). They need no prior knowledge in Machine Learning but they must have interest in this field to be able to enjoy the talk.
63. Decorators 101	This talk covers the basics from functions to decorators in python. How can we make use of the power of decorators to apply the common functionality throughout the most part of our code.	After all these topics you will good enough to start hacking on them and make your code mode DRY(Don't Repeat Yourself).	No prerequisites required as such, just a basic understanding of how functions in Python work.
64. Your first patch to OpenStack	Have you been thinking of making your first contribution to OpenStack but not sure where to start?	Right from Installing DevStack, to selecting a bug, interacting with the community, taking help on the IRC, testing your fixes on DevStack,  submitting your first patch with git review, getting your patch reviewed under the gerrit review system, till finally getting your patch merged to master, this talk will acquaint you with the workflow and show you how easy it is make your first contribution. 	Having gone through the same process ourselves, after this talk we will make sure that you have the required knowledge to land your first patch upstream.
65. Generators Inside Out	This is a hands-on workshop that provides in-depth introduction to generators in Python.	Good experience of Python and familiarity with generators in Python. If you have never used generators before this workshop is not for you.	All the participants should have a laptop with Python 3.5 installed.
66. Django Reduxed	"Having a service oriented architecture in web projects require interfacing the
backend using a REST-ful interface. Building your website as a single page app
allows you to focus on building the API up front, rather than duplicating your
efforts to build a website and then replicating the functionality with an API.
With a single page app, your website can be constructed in much the same way as
a mobile app. Django and the Django REST Framework enabled my team to quickly
deliver a highly functional REST API that was customised to our unique needs."	"React is a great tool to keep UI organised, but won't keep
track of the data and state of application. Redux comes to rescue over here -
it defines a minimal but sufficiently powerful way of interacting with that state.
An action from the UI is combined with a simple JS object(state).
Redux helps developers manage the state and flow of data around an application."	"One of the strengths of redux is that everything is very explicit.
It eases out the process of managing the state and flow of data
around an application. Imagine tons of asynchronous actions without introducing
annoying UI bugs."
67. Testing REST API's made easy with Requests & Unittest Module and Performance test using Locust	This talk will demonstrate how  to do API testing with Python Requests Module and Unittest and showcase Lifecycle of a HTTP request from beginning to end. In this entire session we will take a demo application and see how the API can be tested with request and unittest module and for the same application we will run performance test using locust.	I. Overview of Requests and Unittest module and short demo to showcase how powerful requests library is for testing and test case management with unittest module	II. Testing a Demo application with Requests and unittest module.
68. Building AWS Cloud Infrastructure using Python SDK	"In this talk, we will try to brief about Cloud computing and the core components of AWS, and how we can deploy and manage AWS Cloud infrastructure using Python
Brief Agenda:"	Introduction to Cloud Computing	Quick brief - AWS Components and Services
69. Document your code (Sphinx workshop)	To learn how to write documentation for your code-bases. Documentation is the key for communication and developers are the best person to start writing it. Projects can succeed or fail because of their documentation.	In the workshop the people will be introduced to reStructuredText & sphinx. Starting from quick-start of a project to document organization, code and topic cross-referencing, indexing. We will also go through running tests from your documentation, initial ideas on themes and deployment in readthedocs.	Participants should have the following package installed on their computers
7. Information Security - Where Python Sucks, Survives and Excels	This Presentation from me is going to be on the Information Security aspects of Python code at various layers of the language and application development stack. It will cover aspects from its fundamental language flaws and advantages, libraries, loopholes, misfires and many more.	Python and some basics of Information security	Hi,
70. Realtime microservices with server side Flux	The talk will be organized as:	No comments added so far.	
71. Deploy Python application on OpenShift-v3	OpenShift-v3 is built around the applications running in Docker containers, scheduling and management support provided by the Kubernetes project, and augmented deployment, orchestration, and routing functionality on top. 	Talk Agenda:	Praveen Kumar is a Software Engineer currently working at Red Hat. At Red Hat his focus is to create tools around container ecosystem and  Dockerfiles for different services. In his free time he contribute to Fedora project as RPM packager. He has been a speaker at FUDCon, GNUnify, Flock, FOSSAsia, Jenkins User Conference, Docker-Meet and delivered talks on Docker, Ansible, RPM packaging, Git, Jenkins and various other topics.
72. Real time web apps using django-channels	"I'll demonstrate a complete talk on real time apps using django-channels.
It includes discussion about -
1. django request response cycle
2. websockets
3. django channels and groups
4. deployment of real time apps"	"Python,
Sound knowledge of django"	Hi I'm a django developer and love python. I'm a contributor to pinax organization and freelancer as well.
73. Data Collection Using Raspberry Pi 3.0 and sensors using Python Workshop	"I will demonstrate a complete IOT solution for the folowing:
1. Data collection using temperature and moisture/humidity sensors via ATMEGA, 
2. Processing the collected data using a Raspberrry Pi 3.0
The data is available to the end user to his disposal. If time permits, I will further expain sending messages to the user about spikes and surges,etc."	Python 2.7, Raspberry Pi 3.0, ATMEGA Controller Knowledge.	I am one of the eleven Directors of Python Software Foundation, and the founder of Pyladies Bangalore, India. I have written a book on Python programming and I love teaching Python programming to others.
74. Data Collection Using Raspberry Pi 3.0 and sensors using Python	"I will demonstrate a complete IOT solution for the following:
1. Data collection using temperature and moisture/humidity sensors via ATMEGA, 
2. Processing the collected data using a Raspberry Pi 3.0
The data is available to the end user to his disposal. If time permits, I will further explain sending messages to the user about spikes and surges, etc."	Python 2.7, Raspberry Pi 3.0	I am one of the Directors of Python Software Foundation. I also founded the Pyladies Bangalore chapter.
75. Python Gotchas	"Python aims to be a clean and consistent language that avoids surprises. However, there are few edge cases that can be confusing to newcomers  or sometimes even the experienced ones. 
If you are not aware of these gotchas, you might conclude that the language is poorly designed when you come across it in production.
Some cases are intentional but can be surprising, for example"	"It might seem strange at first glance, but it makes more sense once you are aware of the underlying
reasons for the surprises.
This will be an interactive talk where I will be talking about these gotchas with lot of examples and the audience will be able to guess what/why python behaves the way it does."	Basic python.
76. Symbolic computation with Python, SymPy	In this tutorial we will introduce attendees to SymPy, a computer aided algebra system (CAS) written in Python. We will show basics of constructing and manipulating mathematical expressions in SymPy, the most common issues and differences from other computer algebra systems, and how to deal with them. We will mostly show how to solve practical problems with SymPy and SymEngine. This will include showing how to interface SymPy with popular numeric libraries like NumPy.	Attendees will take home an introductory level understanding of SymPy. This knowledge should be enough for attendees to start using SymPy for solving mathematical problems and hacking SymPy's internals (though hacking core modules may require additional expertise).	SymPy is a pure Python library for symbolic mathematics. It aims to become a full-featured computer algebra system (CAS) while keeping the code as simple as possible in order to be comprehensible and easily extensible. SymPy is written entirely in Python and does not require any external libraries. The tutorial will cover the following topics and more.
77. Python and Robot Framework - Beyond the obvious	Working knowledge of Python and Understanding of what is Robot framework/any keyword driven framework will be good	Working as an Automation Architect for Skyhigh Networks, Bangalore. Has been working on designing and implementing automation solution for DLP solution of Skyhigh	The talk looks interesting. The LinkedIn link is broken, can you please fix it.
78. Token based Authentication system using JWT (JSON Web Token)	JWT is standard for making authentication token. JSON Web Token (JWT) is a compact, URL-safe means of representing claims to be transferred between two parties. The claims in a JWT are encoded as a JSON object that is used as the payload of a JSON Web Signature (JWS) structure or as the plaintext of a JSON Web Encryption (JWE) structure, enabling the claims to be digitally signed or integrity protected with a Message Authentication Code (MAC) and encrypted.	Unlike session based authentication, Token based authentication system takes very less load of server. In session based authentication system, maintaining of session storage is requires processing and storage. While as Token based authentication system, it is not required to maintain session storage at server side. Tone of processing and storage will be saved. Beauty of using JWT as authentication token is it's simplicity. Once token is created, it is possible to authenticate user without touching the database again. Token can be discarded when it is expired by time from the expire time mentioned in token itself. The JWT is self contained token which has authentication, expire time information and any other user defined claims digitally signed. 	JWT can be used to provide Token Based Authentication system at your ReST API. Because JWT is self contained with required claims it is possible to scale API without depending on Authentication server. 
79. Optimizing Deep Convolutional Neural Networks for Speed and Performance	In this talk, I will be focusing on techniques to run the DCNNs as efficiently as possible in terms of :  	There will be a few strategies taught which will allow the neural networks to train and run much faster on CPUs without compromising on the accuracy. A few of them will be changing the neural network itself, which others will focus more on using tools to enhance performance. I have ran very deep neural networks in real-time on CPUs using some of the techniques which will presented. 	The latter half of the talk will be focused on increasing performance in case there is very little data. I have personally achieved accuracies of above 90% using Deep Neural Networks when there are only a few hundreds of images available as training data. I'll be sharing some of those intuitions in this talk, including concepts like initialization, normalization, tweaking the learning rate, regularization, when to finetune and when not to etc. 
8. Exploring science and electronics with Python & Box0	Box0 — Free/Open source tool for exploring science and electronics anytime anywhere	Box0 — started with the idea of providing learners educational resources and tools that gives the freedom to discover science, technology and electronics by doing and sharing knowledge with others.	Box0 helps you learn about electronics and computers and how these are useful for studying physical, biological, chemical or some other phenomena.
80. Plyer: platform-independent Python wrapper for platform-dependent APIs.	"Plyer (Platform independent compatibility layer) is a library for accessing features of your hardware / platforms. 
Plyer provides access to features like Bluetooth, Camera, NFC, Notifications, Calling and others that are commonly found on multiple platforms. 
It's aim is to make it so you don't have to think about wrapping all these features on your own because it's already done, you just need to import them."	Supported platforms by plyer:	This talk will also include some introduction of Pyjnius and Pyobjus tools which gives access to Objective-C and Java code dynamically.
81. Automate the automation - SoapUI/Jmeter tests to Robot tests	Robot framework is a keyword driven framework written in python and it has excellent set of libraries available for web, mobile and web services automation. And it has excellent reporting too. At times, teams take decision to move from one tool/framework to other due to one or more major blocking points in existing setup. This activity is time taking. 	We should go in direction to automate the migration process as much as possible.	In this talk, we will see the migration of a sample project on jmeter/soap to robot framework or may be in any other form.
82. Building Business Apps using Frappe Framework	Frappe is an open source, full stack, opinionated web framework that is ideal for building business apps like accounting, web-shops, ERPs, CRMs, expense tracking and similar apps. Features include:	The talk will introduce the framework with a quick walkthrough and building a simple library management application	"Frappe Framework is ""Made in India"" licensed as MIT, used to built ERPNext, a popular open source ERP application."
83. Productive Coding with PyCharm	Modern Python development has become quite sophisticated, with large projects using many dependencies and multiple programming technologies. Some Python developers prefer an integrated development environment (IDE). PyCharm provides a powerful, mature IDE for Python and other technologies such as web development.	Installation of Python 3.5.1 or later	Installation of PyCharm Professional (either 30 day evaluation or licensed version)
84. Complete IOT solution with raspberry-pi, arduino and a array of sensors.	IOT is the future and in the talk I would like to talk about the following in details:	Raspberry-pi, Python 2.7.6+ ,Arduino basics, MEAN/Ruby on rails(for the API),D3 for the Weather-pi(talk would be explanotary)	I am a student in the 3rd year engineering in the branch of Computer Science .College Of Engineering and Technology,Bhubaneswar.I am a enthusiasts , hobbyist and love to try new things . I work on OpenCV, MEAN stack development and IoT stuffs. I love to read tech articles and try implementing some of them.
85. Docker Workshop	Linux containers e.g.Docker is becoming a standard for packaging , delivering and running applications. There are lot of innovation happening in Linux container eco-system and it relevant and useful for Python developers too.  The objective of this workshop is to make docker container technology familiar to attendees Attendees should be able to start using and experiment with docker after the workshop.	Basics of docker	Running containers using docker
86. Packaging your Python application for Fedora	Many people are preferring writing code in Python language. Be it Python 2 or Python 3 or compatible code to both the versions. I would like to present how you can package your Python code for Fedora.	The contents for my talk will be	By attending this talk the audience will understand how a python application or package is maintained in distribution like Fedora. The same knowledge can be applied to maintain an application in the enterprise distributions like CentOS, RHEL.
87. Asynchronous Programming with Python	As a programmer, each one of us begin their programming with sequential execution of a program loop. But as we build more and more complex applications, there exists a need to do some input/output which should not block the execution of your program. You maybe tempted to use threads but it has it's own memory constraint. To your rescue comes, Asynchronous Programming. This talk will discuss more on the drawbacks of processes/threads and build a case for asynchronous programming. At the end of the talk, a demo will make things much clearer.	Participants are expected to have basic working knowledge of Python and socket programming.	Priyank Trivedi works as a Backend Engineer at Zenatix Solutions, an energy analytics startup. At Zenatix, he heavily uses asynchronous programming paradigm to manage incoming stream of time series data from numerous sensors. Priyank have worked with twisted, an event-driven networking engine in the past. 
88. MicroPython - Porting python to microcontrollers 	Have you ever worked on embedded system projects? Does that challenge your C skills? What if you have a python interpreter running on a bare metal microcontroller? Then you should have a look at MicroPython project.	MicroPython is a lean and fast implementation of the Python 3 programming language that is optimised to run on a microcontroller. The MicroPython board is a small electronic circuit board that runs MicroPython on the bare metal, and gives you a low-level Python operating system that can be used to control all kinds of electronic projects. 	Running an interpreter based programming language in a microprocessor with an OS is considered to be easier than running a the same in a microcontroller environment ,where you won't get the luxury of the RAM (System memory) and available ROM ( It can be flash or EEPROM etc.).
89. CentOS Community Container Pipeline	"CentOS Community Container Pipeline: To give confidence and reliability to the container world, we have developed pipeline to build container for upstream projects. This pipeline is having very easy entry, with a simple pull request in yml file. 
Once the project is part of pipeline it has got the below benefits. "	If there is and change/update in the dependencies pipeline will build an updated image and notify user	Pipeline will automatically track the changes in source code repo and in git push it will build image and notify the user. 
9. Think your python code is slow? Learn how to measure and improve the performance	Many of us blame python for being slow. Ever thought it's not python's fault all of those times. May be it's our code that is at fault. It is useless trying to blindly optimize a program without measuring where it is actually spending its time. There are many things that can be measured on our code. This talk will focus on profiling different parts of your program like line by line analysis, memory used by each objects, memory leaks, objects that causes these memory leaks, etc. The profiling and analysis will be done using python standard libraries and also using some open source libraries.	When you walk out of this talk, you would be a better programmer and appreciate the finer details of python.	Basic python
90. Choosing a license for your free and open source project. 	Everyday many new  projects are getting started in Github or in pubic domain. Github it self has more than 10 million free and open source projects(FOSS). A lot of projects choose to be open source but they do not chose a license. The bigger issue is  less awareness around the role of a license in a free and open source project. 	The goal of this talk to create awareness on this topic and it will cover following topics :	Importance of free software or open source licenses.
91. Revisiting Strings, Unicodes and Encoding	Everyone sort of knows how strings, unicodes and encoding works. But then again, no one really does. Here is a visit back to the basics, so that we can unlearn a lot of things, relearn a whole set of new concepts and discern the differences between python 2 and 3 in this regard. 	"Basic python syntax.
Lots of confusions w.r.t unicodes, strings and encoding."	Can you please update you talk to show what all things you will talk? The current state of the proposal does not give any idea about the details.
92. Automating Open Source Intelligence (OSINT) using Python	Open Source Intelligence is the art of collecting information which is scattered on publicly available sources. With evolution of social media and digital marketplaces a huge amount of information is constantly generated on the Internet (sometimes even without our conscious consent). This is of great concern for organisations and businesses as chances of confidential data floating in the public domain may seriously harm their business integrity. Similarly from a pentester's perspective it is important to collect as much information as possible about the target before going for the kill.	Sudhanshu Chauhan is an information security professional and OSINT specialist. He has worked in the information security industry, previously as Senior security analyst at iViZ and currently as Director and Principal Consultant at Octogence Technologies. Sudhanshu has also written various articles on a wide range of topics including Cyber Threats, Vulnerability Assessment, Honeypots, Metadata etc and Co-authored ‘Hacking Web Intelligence’.	Shubham is an active Information Security researcher at NotSoSecure, with 4 years of experience in offensive and defensive security, with interests in Infrastructure security and OSINT. He has given training, conducted numerous workshops and delivered talks at local security chapters and multiple conferences, including Nullcon 2016, Null Delhi and Bangalore chapters, etc. In his free time, he loves to craft open source tools in python, and if the weather is nice, he loves to ride his bike. Twitter handle: @upgoingstar
93. Introduction to Machine Learning in Python using Scikit-Learn	"This workshop aims for a thorough introduction to Machine Learning utilizing the excellent python library Scikit-Learn.
The workshop will have the following goals"	The workshop will utilize a 80-20 approach between practical and theory that will enable the attendees to better grasp the topic. The workshop will have exercises for the attendees to attempt as they learn.	A basic understanding of Python.
94. Continuous Integration for Data Scientists	This talk is about debugging, scaling and ultimately deploying a prototype of a machine learning application to a production system.	Broadly, the development and maintenance stages of a machine learning product can be broken down as follows:	In a live project, these steps may not necessarily be separated in time, in that it may not be possible to do one after the other sequentially. Engineers normally need to keep rising, lathering and repeating these steps to get a workable product out. The point of this talk is that some of these stages are very repetitive and can be automated.
95. Writing a Regex Engine in Python	Topics covered:  	Did I mention this is in pure Python? Yep, this is pure Python.	"I'm a Masters student at IIITM-K currently working on my Masters' Thesis.
I love building things with Python, blogging, writing articles for OSFY and so on.
I've been swimming in Python for about 5 years now, and absolutely love it."
96. Building scalable and Intelligent IoT Solutions with Python and Azure	In this session we will show the power of Python running on IoT Devices and communicating with Cloud. We will talk about security considerations and challenges with Internet-of-things devices. Most importantly we will make this service more intelligent by adding Machine Learning aspect and Power BI for visualizations.	As a Technical Evangelist, Abhishek helps developers adapt to the latest technologies. He is a Devices and gadget enthusiast and loves exploring various boards. Previously, he was a consultant at Microsoft focused on Web stack, Azure, Cross-Platform Client Dev, and Game development. He is a regular speaker at Technology Conferences – TechEd, User Groups, OSI days, Droidcon, etc. Prior to Microsoft, Abhishek was working at Infragistics – a leading UI/UX company. He has worked extensively on HTML5 and was awarded the Microsoft MVP award for his contributions on Client Web Technologies, while working outside Microsoft.	No comments added so far.
97. Multi-Modal Sentiment Analysis using Deep Learning	"The workshop is to be divided in two parts:
1. Using deep learning for processing sentiments in sentences and short-texts. [By Mimansa]
2. Using image processing in OpenCV for processing sentiment of images posted. [By Sairam]"	The workshop would then aim to go over the plausible applications that it could have.	The textual part of the talk aims to cover the following topics under NLP:
98. Packaging python to RPM (Red Hat, Fedora, CentOS...) format	After this talk everyone will be able to understand packaging and can package a standard python software into RPM format	Here is the preview of talk	Interesting one. Hoping to see this in PyCon 2016
99. Rapid Application Development with Kivy (A Cross-Platform Python Library)	Now a days, there are many ways with which you can develop an application for the multiple devices and the leading technology which is in use worldwide is 'Android'. But as a Python enthusiast i would like to present a not so popular python package 'Kivy', with which we can develop an application in quite lesser time.	I will be covering these topics:	Introduction to Kivy
